Row,Name,PlaceName,Map
191,go005,East Shroud,East Shroud
192,go006,South Shroud,South Shroud
193,w1b1,IC-06 Central Decks,IC-06 Central Decks
194,w1b2,IC-06 Regeneration Grid,IC-06 Regeneration Grid
195,w1b3,IC-06 Main Bridge,IC-06 Main Bridge
196,w1b4,The Burning Heart,The Burning Heart
197,,0,0
198,s1e4,Command Room,Command Room
199,,0,0
200,,0,0
201,,0,0
202,,0,0
203,,0,0
204,f1e4,Seat of the First Bow,Seat of the First Bow
205,f1e5,Lotus Stand,Lotus Stand
206,,0,0
207,,0,0
208,,0,0
209,,0,0
210,w1e4,Heart of the Sworn,Heart of the Sworn
211,,0,0
212,w1e6,The Waking Sands,The Waking Sands
213,,0,0
214,go001,Middle La Noscea,Middle La Noscea
215,go003,Western Thanalan,Western Thanalan
216,go004,Central Thanalan,Central Thanalan
217,,0,0
218,,0,0
219,go008,Central Shroud,Central Shroud
220,go007,South Shroud,South Shroud
221,go009,Upper La Noscea,Upper La Noscea
222,go010,Lower La Noscea,Lower La Noscea
223,go011,Coerthas Central Highlands,Coerthas Central Highlands
224,,0,0
225,e0002,Central Shroud,Central Shroud
226,e0003,Central Shroud,Central Shroud
227,e0004,Central Shroud,Central Shroud
228,e0007,North Shroud,North Shroud
229,e0008,South Shroud,South Shroud
230,e0009,Central Shroud,Central Shroud
231,e0010,South Shroud,South Shroud
232,e0016,South Shroud,South Shroud
233,e0001,Central Shroud,Central Shroud
234,e0005,East Shroud,East Shroud
235,e0006,South Shroud,South Shroud
236,e0011,South Shroud,South Shroud
237,e0012,Central Shroud,Central Shroud
238,e0013,Old Gridania,Old Gridania
239,e0014,Central Shroud,Central Shroud
240,e0015,North Shroud,North Shroud
241,s1b1,Upper Aetheroacoustic Exploratory Site,Upper Aetheroacoustic Exploratory Site
242,s1b2,Lower Aetheroacoustic Exploratory Site,Lower Aetheroacoustic Exploratory Site
243,s1b3,The Ragnarok,The Ragnarok
244,s1b4,Ragnarok Drive Cylinder,Ragnarok Drive Cylinder
245,s1b5,Ragnarok Central Core,Ragnarok Central Core
246,w1b5,IC-04 Main Bridge,Eorzea
247,s1b7,Ragnarok Main Bridge,Eorzea
248,e0017,Central Thanalan,Central Thanalan
249,e0018,Lower La Noscea,Lower La Noscea
250,s1p1,Wolves' Den Pier,Wolves' Den Pier
251,e0028,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
252,e0038,Middle La Noscea,Middle La Noscea
253,e0019,Central Thanalan,Central Thanalan
254,e0020,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
255,e0021,Western Thanalan,Western Thanalan
256,e0022,Eastern Thanalan,Eastern Thanalan
257,e0023,Eastern Thanalan,Eastern Thanalan
258,e0024,Central Thanalan,Central Thanalan
259,e0025,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
260,e0026,Southern Thanalan,Southern Thanalan
261,e0027,Southern Thanalan,Southern Thanalan
262,e0034,Lower La Noscea,Lower La Noscea
263,e0035,Western La Noscea,Western La Noscea
264,e0036,Lower La Noscea,Lower La Noscea
265,e0037,Lower La Noscea,Lower La Noscea
266,e0029,Eastern Thanalan,Eastern Thanalan
267,e0030,Western Thanalan,Western Thanalan
268,e0031,Eastern Thanalan,Eastern Thanalan
269,e0032,Western Thanalan,Western Thanalan
270,e0041,Central Thanalan,Central Thanalan
271,e0042,Central Thanalan,Central Thanalan
272,e0039,Middle La Noscea,Middle La Noscea
273,e0043,Western Thanalan,Western Thanalan
274,e0046,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
275,e0047,Eastern Thanalan,Eastern Thanalan
276,z1e5,Hall of Summoning,Eorzea
277,e0048,East Shroud,East Shroud
278,e0049,Western Thanalan,Western Thanalan
279,e0050,Lower La Noscea,Lower La Noscea
280,e0040,Western La Noscea,Western La Noscea
281,o1fa,The Whorleater,The Whorleater
282,s1i1,Private Cottage - Mist,Private Cottage - Mist
283,s1i2,Private House - Mist,Private House - Mist
284,s1i3,Private Mansion - Mist,Private Mansion - Mist
285,e0053,Middle La Noscea,Middle La Noscea
286,e0054,Rhotano Sea,Rhotano Sea
287,e0055,Lower La Noscea,Lower La Noscea
288,e0056,Rhotano Sea,Rhotano Sea
289,e0057,East Shroud,East Shroud
290,e0063,East Shroud,East Shroud
291,e0064,South Shroud,South Shroud
292,w1fa_2,Bowl of Embers,Bowl of Embers
293,s1fa_2,The Navel,The Navel
294,r1fa_2,The Howling Eye,The Howling Eye
295,w1fa_3,Bowl of Embers,Bowl of Embers
296,s1fa_3,The Navel,The Navel
297,r1fa_3,The Howling Eye,The Howling Eye
298,go012,Coerthas Central Highlands,Coerthas Central Highlands
299,go013,Mor Dhona,Mor Dhona
300,go014,Mor Dhona,Mor Dhona
301,e0051,Coerthas Central Highlands,Coerthas Central Highlands
302,e0052,Coerthas Central Highlands,Coerthas Central Highlands
303,e0058,East Shroud,East Shroud
304,e0059,Coerthas Central Highlands,Coerthas Central Highlands
305,e0060,Mor Dhona,Mor Dhona
306,e0061,Southern Thanalan,Southern Thanalan
307,e0062,Lower La Noscea,Lower La Noscea
308,e0065,Mor Dhona,Mor Dhona
309,e0066,Mor Dhona,Mor Dhona
310,e0067,Eastern La Noscea,Eastern La Noscea
311,e0068,Eastern La Noscea,Eastern La Noscea
312,e0069,Southern Thanalan,Southern Thanalan
313,e0070,Coerthas Central Highlands,Coerthas Central Highlands
314,e0071,Central Thanalan,Central Thanalan
315,e0072,Mor Dhona,Mor Dhona
316,e0073,Coerthas Central Highlands,Coerthas Central Highlands
317,e0074,South Shroud,South Shroud
318,e0075,Southern Thanalan,Southern Thanalan
319,e0076,Central Shroud,Central Shroud
320,e0077,Central Shroud,Central Shroud
321,e0078,North Shroud,North Shroud
322,e0079,Coerthas Central Highlands,Coerthas Central Highlands
323,e0080,Southern Thanalan,Southern Thanalan
324,e0081,North Shroud,North Shroud
325,e0082,Outer La Noscea,Outer La Noscea
326,e0083,Mor Dhona,Mor Dhona
327,e0084,Eastern La Noscea,Eastern La Noscea
328,e0085,Upper La Noscea,Upper La Noscea
329,e0086,The Wanderer's Palace,The Wanderer's Palace
330,e0087,Western La Noscea,Western La Noscea
331,r1fa_event,The Howling Eye,The Howling Eye
332,,0,0
333,,0,0
334,,0,0
335,l1f1_event,Mor Dhona,Mor Dhona
336,,0,0
337,,0,0
338,s1b7_2,Eorzean Subterrane,Eorzea
339,s1h1,Mist,Mist
340,f1h1,The Lavender Beds,The Lavender Beds
341,w1h1,The Goblet,The Goblet
342,f1i1,Private Cottage - The Lavender Beds,Private Cottage - The Lavender Beds
343,f1i2,Private House - The Lavender Beds,Private House - The Lavender Beds
344,f1i3,Private Mansion - The Lavender Beds,Private Mansion - The Lavender Beds
345,w1i1,Private Cottage - The Goblet,Private Cottage - The Goblet
346,w1i2,Private House - The Goblet,Private House - The Goblet
347,w1i3,Private Mansion - The Goblet,Private Mansion - The Goblet
348,w1fb,Porta Decumana,Porta Decumana
349,w1d6,Copperbell Mines,Copperbell Mines (Hard)
350,f1d4,Haukke Manor,Haukke Manor (Hard)
351,l1e1,The Rising Stones,The Rising Stones
352,,0,0
353,z1z1,Kugane Ohashi,Kugane Ohashi
354,z1z2,The Dancing Plague,The Dancing Plague
355,f1b1,Dalamud's Shadow,Dalamud's Shadow
356,f1b2,The Outer Coil,The Outer Coil
357,f1b3,Central Decks,Central Decks
358,f1b4,The Holocharts,The Holocharts
359,o1fa_2,The Whorleater,The Whorleater
360,w1d7,Halatali,Halatali (Hard)
361,s1d5,Hullbreaker Isle,Hullbreaker Isle
362,s1d6,Brayflox's Longstop,Brayflox's Longstop (Hard)
363,f1d5,The Lost City of Amdapor,The Lost City of Amdapor
364,f1fa_2,Thornmarch,Thornmarch
365,r1d2,Stone Vigil,The Stone Vigil (Hard)
366,r1fb,Griffin Crossing,Griffin Crossing
367,w1d8,The Sunken Temple of Qarn,The Sunken Temple of Qarn (Hard)
368,r1f1_battle,The Weeping Saint,Coerthas Central Highlands
369,w1d2_battle,Hall of the Bestiarii,Halatali
370,f1b5,Main Bridge,Eorzea
371,,0,0
372,l1r2,Syrcus Tower,Syrcus Tower
373,f1d6,The Tam-Tara Deepcroft,The Tam-Tara Deepcroft (Hard)
374,f1fb,The Striking Tree,The Striking Tree
375,f1fb_2,The Striking Tree,The Striking Tree
376,l1p1,Carteneau Flats: Borderland Ruins,Carteneau Flats: Borderland Ruins
377,r1fc,Akh Afah Amphitheatre,Akh Afah Amphitheatre
378,r1fc_2,Akh Afah Amphitheatre,Akh Afah Amphitheatre
379,e0090,Mor Dhona,Mor Dhona
380,f1b1_2,Dalamud's Shadow,Dalamud's Shadow
381,f1b2_2,The Outer Coil,The Outer Coil
382,f1b3_2,Central Decks,Central Decks
383,f1b4_2,The Holocharts,The Holocharts
384,s1i4,Private Chambers - Mist,Private Chambers - Mist
385,f1i4,Private Chambers - The Lavender Beds,Private Chambers - The Lavender Beds
386,w1i4,Private Chambers - The Goblet,Private Chambers - The Goblet
387,s1d7,Sastasha,Sastasha (Hard)
388,w1ed,Chocobo Square,The Gold Saucer
389,s1fb,Chocobo Square,Chocobo Square
390,w1fc,Chocobo Square,Chocobo Square
391,f1fc,Chocobo Square,Chocobo Square
392,f1e6,Sanctum of the Twelve,East Shroud
393,f1e6_prv,Sanctum of the Twelve,East Shroud
394,f1f3_battle,South Shroud,South Shroud
395,r1e2,Intercessory,Intercessory
396,f1d3_battle,Amdapor Keep,Amdapor Keep
397,r2f1,Coerthas Western Highlands,Coerthas Western Highlands
398,d2f1,The Dravanian Forelands,The Dravanian Forelands
399,d2f2,The Dravanian Hinterlands,The Dravanian Hinterlands
400,d2f3,The Churning Mists,The Churning Mists
401,a2f1,The Sea of Clouds,The Sea of Clouds
402,a2f2,Azys Lla,Azys Lla
403,ec008,Ala Mhigo,The Hall of the Griffin
404,e0091,Limsa Lominsa Lower Decks,Limsa Lominsa Lower Decks
405,e0092,Western La Noscea,Western La Noscea
406,e0093,Western La Noscea,Western La Noscea
407,e0094,Rhotano Sea,Rhotano Sea
408,e0095,Eastern La Noscea,Eastern La Noscea
409,e0096,Limsa Lominsa Upper Decks,Limsa Lominsa Upper Decks
410,e0097,Northern Thanalan,Northern Thanalan
411,e0098,Eastern La Noscea,Eastern La Noscea
412,e0099,Upper La Noscea,Upper La Noscea
413,e0100,Western La Noscea,Western La Noscea
414,e0101,Eastern La Noscea,Eastern La Noscea
415,e0102,Lower La Noscea,Lower La Noscea
416,,0,0
417,w1fc_tutorial,Chocobo Square,Chocobo Square
418,r2t1,Foundation,Foundation
419,r2t2,The Pillars,The Pillars
420,a2d2,Neverreap,Neverreap
421,,0,0
422,,0,0
423,s1i5,Company Workshop - Mist,Company Workshop - Mist
424,w1i5,Company Workshop - The Goblet,Company Workshop - The Goblet
425,f1i5,Company Workshop - The Lavender Beds,Company Workshop - The Lavender Beds
426,z1e9,The Chrysalis,The Chrysalis
427,r2e1,Saint Endalim's Scholasticate,Saint Endalim's Scholasticate
428,r2e3,Seat of the Lord Commander,Seat of the Lord Commander
429,r2ti,Cloud Nine,Cloud Nine
430,a2d3,The Fractal Continuum,The Fractal Continuum
431,s2p1,Seal Rock,Seal Rock
432,d2fa,Thok ast Thok,Thok ast Thok
433,r2e4,Fortemps Manor,Fortemps Manor
434,,0,0
435,,0,0
436,a2fa,The Limitless Blue,The Limitless Blue
437,a2fb,Singularity Reactor,Singularity Reactor
438,,0,0
439,r2e5,The Lightfeather Proving Grounds,The Lightfeather Proving Grounds
440,r2e6,Ruling Chamber,Ruling Chamber
441,,0,0
442,d2a1,The Fist of the Father,The Fist of the Father
443,d2a2,The Cuff of the Father,The Cuff of the Father
444,d2a3,The Arm of the Father,The Arm of the Father
445,d2a4,The Burden of the Father,The Burden of the Father
446,d2fa_2,Thok ast Thok,Thok ast Thok
447,a2fa_2,The Limitless Blue,The Limitless Blue
448,a2fb_2,Singularity Reactor,Singularity Reactor
449,d2a1_2,The Fist of the Father,The Fist of the Father
450,d2a2_2,The Cuff of the Father,The Cuff of the Father
451,d2a3_2,The Arm of the Father,The Arm of the Father
452,d2a4_2,The Burden of the Father,The Burden of the Father
453,e0103,Western La Noscea,Western La Noscea
454,e0104,Upper La Noscea,Upper La Noscea
455,e0105,The Sea of Clouds,The Sea of Clouds
456,e0106,Ruling Chamber,Ruling Chamber
457,e0107,Akh Afah Amphitheatre,Akh Afah Amphitheatre
458,e0108,Foundation,Foundation
459,e0109,Azys Lla,Azys Lla
460,e0110,Halatali,Halatali (Hard)
461,e0111,The Sea of Clouds,The Sea of Clouds
462,d2e2,Sacrificial Chamber,Sacrificial Chamber
463,d2e3,Matoya's Cave,Matoya's Cave
464,e0112,The Dravanian Forelands,The Dravanian Forelands
465,e0113,Eastern Thanalan,Eastern Thanalan
466,e0114,Upper La Noscea,Upper La Noscea
467,e0115,Coerthas Western Highlands,Coerthas Western Highlands
468,e0116,Coerthas Central Highlands,Coerthas Central Highlands
469,e0117,Coerthas Central Highlands,Coerthas Central Highlands
470,e0118,Coerthas Western Highlands,Coerthas Western Highlands
471,e0119,Eastern La Noscea,Eastern La Noscea
472,e0120,Coerthas Western Highlands,Coerthas Western Highlands
473,e0121,South Shroud,South Shroud
474,e0122,Limsa Lominsa Upper Decks,Limsa Lominsa Upper Decks
475,e0123,Coerthas Central Highlands,Coerthas Central Highlands
476,e0124,The Dravanian Hinterlands,The Dravanian Hinterlands
477,e0125,Coerthas Western Highlands,Coerthas Western Highlands
478,d2t1,Idyllshire,Idyllshire
479,e0126,Coerthas Western Highlands,Coerthas Western Highlands
480,e0127,Mor Dhona,Mor Dhona
481,e0128,The Dravanian Forelands,The Dravanian Forelands
482,e0129,The Dravanian Forelands,The Dravanian Forelands
483,e0130,Northern Thanalan,Northern Thanalan
484,e0131,Lower La Noscea,Lower La Noscea
485,e0132,The Dravanian Hinterlands,The Dravanian Hinterlands
486,e0133,Outer La Noscea,Outer La Noscea
487,e0134,Coerthas Central Highlands,Coerthas Central Highlands
488,e0135,Coerthas Central Highlands,Coerthas Central Highlands
489,e0136,Coerthas Western Highlands,Coerthas Western Highlands
490,e0137,Hullbreaker Isle,Hullbreaker Isle
491,e0138,Southern Thanalan,Southern Thanalan
492,e0139,The Sea of Clouds,The Sea of Clouds
493,e0140,Coerthas Western Highlands,Coerthas Western Highlands
494,e0141,Eastern Thanalan,Eastern Thanalan
495,e0142,Lower La Noscea,Lower La Noscea
496,e0143,Coerthas Central Highlands,Coerthas Central Highlands
497,e0144,Coerthas Western Highlands,Coerthas Western Highlands
498,e0145,Coerthas Western Highlands,Coerthas Western Highlands
499,e0146,The Pillars,The Pillars
500,e0147,Coerthas Central Highlands,Coerthas Central Highlands
501,e0148,The Churning Mists,The Churning Mists
502,e0149,Carteneau Flats: Borderland Ruins,Carteneau Flats: Borderland Ruins
503,e0150,The Dravanian Hinterlands,The Dravanian Hinterlands
504,l1e2,The Eighteenth Floor,The Eighteenth Floor
505,d2e4,Alexander,The Gordian Knot
506,s1p3,Chocobo Square,0
507,a2e2,Central Azys Lla,Central Azys Lla
508,z2r1,Void Ark,Void Ark
509,z1z4,The Gilded Araya,The Gilded Araya
510,s1d9,Pharos Sirius,Pharos Sirius (Hard)
511,d2d4,Saint Mocianne's Arboretum,Saint Mocianne's Arboretum
512,a2fc,The Diadem,0
513,e0151,The Vault,The Vault
514,a2fc_2,The Diadem,0
515,a2fc_3,The Diadem,0
516,,0,0
517,a2fd,Containment Bay S1T7,Containment Bay S1T7
518,,0,0
519,f1d8,The Lost City of Amdapor,The Lost City of Amdapor (Hard)
520,d2a5,The Fist of the Son,The Fist of the Son
521,d2a6,The Cuff of the Son,The Cuff of the Son
522,d2a7,The Arm of the Son,The Arm of the Son
523,d2a8,The Burden of the Son,The Burden of the Son
524,a2fd_2,Containment Bay S1T7,Containment Bay S1T7
525,,0,0
526,,0,0
527,,0,0
528,,0,0
529,d2a5_2,The Fist of the Son,The Fist of the Son
530,d2a6_2,The Cuff of the Son,The Cuff of the Son
531,d2a7_2,The Arm of the Son,The Arm of the Son
532,d2a8_2,The Burden of the Son,The Burden of the Son
533,ec001,Coerthas Central Highlands,Coerthas Central Highlands
534,f1tg,Twin Adder Barracks,Twin Adder Barracks
535,w1tg,Flame Barracks,Flame Barracks
536,s1tg,Maelstrom Barracks,Maelstrom Barracks
537,s1p2_begin01,The Fold,The Fold
538,s1p2_begin02,The Fold,The Fold
539,s1p2_begin03,The Fold,The Fold
540,s1p2_begin04,The Fold,The Fold
541,s1p2_begin05,The Fold,The Fold
542,s1p2_begin06,The Fold,The Fold
543,s1p2_begin07,The Fold,The Fold
544,s1p2_begin08,The Fold,The Fold
545,s1p2_begin09,The Fold,The Fold
546,s1p2_begin10,The Fold,The Fold
547,s1p2_begin11,The Fold,The Fold
548,s1p2_begin12,The Fold,The Fold
549,s1p2_begin13,The Fold,The Fold
550,s1p2_begin14,The Fold,The Fold
551,s1p2_begin15,The Fold,The Fold
552,s1f4_begin16,Western La Noscea,Western La Noscea
553,d2e5,Alexander,The Midan Knot
554,r2p1,The Fields of Glory,The Fields of Glory
555,,0,0
556,z2r2,The Weeping City of Mhach,The Weeping City of Mhach
557,s1da,Hullbreaker Isle,Hullbreaker Isle (Hard)
558,w1c1,The Aquapolis,The Aquapolis
559,r1fe,Steps of Faith,Steps of Faith
560,ec002,Aetherochemical Research Facility,Aetherochemical Research Facility
561,f1c1_dd001,The Palace of the Dead,0
562,f1c2_dd002,The Palace of the Dead,0
563,f1c3_dd003,The Palace of the Dead,0
564,f1c4_dd004,The Palace of the Dead,0
565,f1c4_dd005,The Palace of the Dead,0
566,r1fe_2,Steps of Faith,Steps of Faith
567,a2e3,The Parrock,The Parrock
568,a2e4,Leofard's Chambers,Leofard's Chambers
569,r1e3,Steps of Faith,Steps of Faith
570,f1e7,The Palace of the Dead,The Palace of the Dead
571,f1d9,Haunted Manor,Haunted Manor
572,,0,0
573,s1i6,Topmast Apartment Lobby,Topmast Apartment Lobby
574,f1i6,Lily Hills Apartment Lobby,Lily Hills Apartment Lobby
575,w1i6,Sultana's Breath Apartment Lobby,Sultana's Breath Apartment Lobby
576,a2fe,Containment Bay P1T6,Containment Bay P1T6
577,a2fe_2,Containment Bay P1T6,Containment Bay P1T6
578,d2d7,The Great Gubal Library,The Great Gubal Library (Hard)
579,w1ee,The Battlehall,The Battlehall
580,d2a9,Eyes of the Creator,Eyes of the Creator
581,d2aa,Breath of the Creator,Breath of the Creator
582,d2ab,Heart of the Creator,Heart of the Creator
583,d2ac,Soul of the Creator,Soul of the Creator
584,d2a9_2,Eyes of the Creator,Eyes of the Creator
585,d2aa_2,Breath of the Creator,Breath of the Creator
586,d2ab_2,Heart of the Creator,Heart of the Creator
587,d2ac_2,Soul of the Creator,Soul of the Creator
588,d2e7,Heart of the Creator,Heart of the Creator
589,s1p3_2,Chocobo Square,0
590,s1p3_3,Chocobo Square,0
591,s1p3_4,Chocobo Square,0
592,ec003,Bowl of Embers,Bowl of Embers
593,f1c5_dd006,The Palace of the Dead,0
594,f1c5_dd007,The Palace of the Dead,0
595,f1c5_dd008,The Palace of the Dead,0
596,f1c6_dd009,The Palace of the Dead,0
597,f1c6_dd010,The Palace of the Dead,0
598,f1c6_dd011,The Palace of the Dead,0
599,f1c8_dd012,The Palace of the Dead,0
600,f1c8_dd013,The Palace of the Dead,0
601,f1c9_dd014,The Palace of the Dead,0
602,f1c9_dd015,The Palace of the Dead,0
603,f1c7_dd016,The Palace of the Dead,0
604,f1c7_dd017,The Palace of the Dead,0
605,f1c7_dd018,The Palace of the Dead,0
606,f1c7_dd019,The Palace of the Dead,0
607,f1c7_dd020,The Palace of the Dead,0
608,s1i4_2,Topmast Apartment,Topmast Apartment
609,f1i4_2,Lily Hills Apartment,Lily Hills Apartment
610,w1i4_2,Sultana's Breath Apartment,Sultana's Breath Apartment
611,w1ef,Frondale's Home for Friendless Foundlings,Frondale's Home for Friendless Foundlings
612,g3f1,The Fringes,The Fringes
613,e3f1,The Ruby Sea,The Ruby Sea
614,e3f2,Yanxia,Yanxia
615,,0,0
616,,0,0
617,d2d8,Sohm Al,Sohm Al (Hard)
618,,0,0
619,,0,0
620,g3f2,The Peaks,The Peaks
621,g3f3,The Lochs,The Lochs
622,e3f3,The Azim Steppe,The Azim Steppe
623,,0,0
624,a2fc_4,The Diadem,0
625,a2fc_5,The Diadem,0
626,,0,0
627,z2r3,Dun Scaith,Dun Scaith
628,e3t1,Kugane,Kugane
629,e3ti,Bokairo Inn,Bokairo Inn
630,,0,0
631,,0,0
632,,0,0
633,ec004,Carteneau Flats: Borderland Ruins,Carteneau Flats: Borderland Ruins
634,e0194,Yanxia,Yanxia
635,g3t1,Rhalgr's Reach,Rhalgr's Reach
636,l1e3,Omega Control,Omega Control
637,a2fg,Containment Bay Z1T9,Containment Bay Z1T9
638,a2fg_2,Containment Bay Z1T9,Containment Bay Z1T9
639,e3e1,Ruby Bazaar Offices,Ruby Bazaar Offices
640,e0176,The Fringes,The Fringes
641,e1h1,Shirogane,Shirogane
642,,0,0
643,,0,0
644,,0,0
645,,0,0
646,,0,0
647,e0164,The Fringes,The Fringes
648,e0165,The Fringes,The Fringes
649,e1i1,Private Cottage - Shirogane,Private Cottage - Shirogane
650,e1i2,Private House - Shirogane,Private House - Shirogane
651,e1i3,Private Mansion - Shirogane,Private Mansion - Shirogane
652,e1i4,Private Chambers - Shirogane,Private Chambers - Shirogane
653,e1i5,Company Workshop - Shirogane,Company Workshop - Shirogane
654,e1i6,Kobai Goten Apartment Lobby,Kobai Goten Apartment Lobby
655,e1i4_2,Kobai Goten Apartment,Kobai Goten Apartment
656,a2fh_2,The Diadem,0
657,e0195,The Ruby Sea,The Ruby Sea
658,e0196,The Interdimensional Rift,The Interdimensional Rift
659,e0189,Rhalgr's Reach,Rhalgr's Reach
660,,0,0
661,,0,0
662,e3d4,Kugane Castle,Kugane Castle
663,g3d3,The Temple of the Fist,The Temple of the Fist
664,e0152,Kugane,Kugane
665,ec005,Kugane,Kugane
666,e0183,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal
667,e0153,Kugane,Kugane
668,e0178,Eastern Thanalan,Eastern Thanalan
669,e0154,Southern Thanalan,Southern Thanalan
670,e0188,The Fringes,The Fringes
671,e0191,The Fringes,The Fringes
672,e0180,Mor Dhona,Mor Dhona
673,e0155,Sohm Al,Sohm Al Foothills
674,e3fa,The Blessed Treasury,The Blessed Treasury
675,e0179,Western La Noscea,Western La Noscea
676,e0181,The Great Gubal Library,The Great Gubal Library
677,e3fa_2,The Blessed Treasury,The Blessed Treasury
678,e0177,The Fringes,The Fringes
679,g3fb,The Royal Airship Landing,The Royal Airship Landing
680,o3e1,The <italic(1)>Misery<italic(0)>,The <italic(1)>Misery<italic(0)>
681,e3e5,The House of the Fierce,The House of the Fierce
682,e3ea,The Doman Enclave,The Doman Enclave
683,g3e1,The First Altar of Djanan Qhat,The First Altar of Djanan Qhat
684,ec007,The Lochs,The Lochs
685,e0190,Yanxia,Yanxia
686,e0192,The Lochs,The Lochs
687,e0193,The Lochs,The Lochs
688,ec006,The Azim Steppe,The Azim Steppe
689,,0,0
690,z3o1,The Interdimensional Rift,The Interdimensional Rift
691,z3o2,Deltascape V1.0,Deltascape V1.0
692,z3o3,Deltascape V2.0,Deltascape V2.0
693,z3o4,Deltascape V3.0,Deltascape V3.0
694,z3o5,Deltascape V4.0,Deltascape V4.0
695,z3o2_2,Deltascape V1.0,Deltascape V1.0
696,z3o3_2,Deltascape V2.0,Deltascape V2.0
697,z3o4_2,Deltascape V3.0,Deltascape V3.0
698,z3o5_2,Deltascape V4.0,Deltascape V4.0
699,e0162,Coerthas Central Highlands,Coerthas Central Highlands
700,e0163,Foundation,Foundation
701,e0172,Seal Rock,Seal Rock
702,e0173,Aetherochemical Research Facility,Aetherochemical Research Facility
703,e0156,The Fringes,The Fringes
704,e0157,Dalamud's Shadow,Dalamud's Shadow
705,e0168,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal
706,e0169,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal
707,e0182,The Weeping City of Mhach,The Weeping City of Mhach
708,e0184,Rhotano Sea,Rhotano Sea
709,e0185,Coerthas Western Highlands,Coerthas Western Highlands
710,e0186,Kugane,Kugane
711,e0187,The Ruby Sea,The Ruby Sea
712,o3c1,The Lost Canals of Uznair,The Lost Canals of Uznair
713,e0158,The Azim Steppe,The Azim Steppe
714,e0159,Bardam's Mettle,Bardam's Mettle
715,e0160,The Churning Mists,The Churning Mists
716,e0161,The Peaks,The Peaks
717,e0174,Wolves' Den Pier,Wolves' Den Pier
718,e0175,The Azim Steppe,The Azim Steppe
719,g3fa,Emanation,Emanation
720,g3fa_2,Emanation,Emanation
